time,flux,flux_err,tranum,plnum
158.75062561035156,0.9998140675845134,0.0002878725241503,0,1
158.77105712890625,0.9993941214640808,0.0002877174619379,0,1
158.7914886474609,1.000743455386532,0.0002879216099187,0,1
158.81192016601562,0.9999705388708144,0.0002878731023156,0,1
158.83236694335935,1.0002602018686315,0.0002878668899236,0,1
158.85279846191406,0.9996369964850528,0.0002877463454283,0,1
158.87322998046875,0.9997386142681136,0.0002878098088798,0,1
158.8936614990234,1.0004306954976692,0.0002878412997904,0,1
158.91409301757812,1.0000404129795386,0.0002877640960587,0,1
158.9345245361328,1.0000118605509924,0.000287833962703,0,1
158.95497131347656,1.000241977154446,0.0002878399893401,0,1
158.97540283203122,0.9994672216228478,0.000287790130195,0,1
158.9958343505859,0.9985993222046804,0.000287697108385,0,1
159.0162658691406,0.9956702582170662,0.0002875396086864,0,1
159.03669738769534,0.9938348015106576,0.0002873732702276,0,1
159.05712890624997,0.994464000297139,0.0002874367131635,0,1
159.07757568359375,0.9940481283639636,0.0002872602766722,0,1
159.09800720214847,0.9935795212431464,0.0002872767201726,0,1
159.1184387207031,0.9936797090598548,0.0002873646436443,0,1
159.1388702392578,0.9934907272167346,0.0002873474209155,0,1
159.1593017578125,0.9939901192656256,0.0002874124981734,0,1
159.17974853515622,0.9939837438163182,0.0002873771156862,0,1
159.2001800537109,0.9953130325613964,0.0002874688945546,0,1
159.22061157226562,0.9979900131797732,0.000287715018284,0,1
159.2410430908203,1.0001923847692389,0.0002878176351089,0,1
159.261474609375,1.0000449299933185,0.0002878482412404,0,1
159.28190612792966,0.9994722487412226,0.0002877393606282,0,1
159.30235290527344,0.9997078480703911,0.0002877894485984,0,1
159.32278442382812,1.0002563938615083,0.0002879227013809,0,1
159.34321594238278,0.9995437986077896,0.000287823718501,0,1
159.3636474609375,1.000469958900471,0.0002878772378511,0,1
159.3840789794922,0.9994803257075106,0.0002879143989935,0,1
159.40452575683588,0.9998098415232908,0.0002878693729459,0,1
159.42495727539062,1.000510622096964,0.000287882227434,0,1
159.4453887939453,0.9999906605481632,0.0002878896856669,0,1
159.4658203125,1.000167536258337,0.0002879145571726,0,1
203.90995788574213,1.0000654037889087,0.0002926402595184,1,1
203.9303894042969,0.9998849505776836,0.0002926639210447,1,1
203.9508209228516,1.0000481656723468,0.0002926668950865,1,1
203.97125244140625,1.000130618513971,0.0002927053147375,1,1
203.9916839599609,0.999579277389244,0.0002926727331148,1,1
204.0121154785156,1.000260009744635,0.0002927670130244,1,1
204.03256225585932,1.0000068524987344,0.0002927588307537,1,1
204.0529937744141,1.0006170863778057,0.0002928661678241,1,1
204.07342529296875,0.999649817695433,0.0002927704933581,1,1
204.09385681152347,0.9998866001705178,0.0002928180534929,1,1
204.11428833007807,0.9997920494081928,0.0002928192045226,1,1
204.1347198486328,0.9998623965390776,0.0002927950647991,1,1
204.1551513671875,0.9974516995463346,0.0002927071931697,1,1
204.1755981445312,0.9955240465844478,0.0002925213553469,1,1
204.196029663086,0.9942584334157464,0.0002924894912038,1,1
204.21646118164065,0.9935419867488212,0.000292451301669,1,1
204.23689270019528,0.993429799402052,0.0002924183166885,1,1
204.25732421875,0.9927575748430996,0.0002924182115413,1,1
204.2777557373047,0.994019594350647,0.0002925026331392,1,1
204.29820251464844,0.9935747110442438,0.0002924956141227,1,1
204.31863403320315,0.9945566780610826,0.0002925478357313,1,1
204.3390655517578,0.9944670679082191,0.0002925624970564,1,1
204.35949707031247,0.9954977933398624,0.0002926442055443,1,1
204.3799285888672,0.9992789194084062,0.000292886568996,1,1
204.4003601074219,0.9996838627906662,0.0002929077521354,1,1
204.42079162597656,1.0000758534525762,0.0002929590483604,1,1
204.4412384033203,0.9998033465885146,0.0002929576831574,1,1
204.461669921875,1.0003386369102338,0.0002929697285412,1,1
204.4821014404297,1.000035957979849,0.0002929715064435,1,1
204.5025329589844,1.0002190140653335,0.0002930122721071,1,1
204.52296447753903,1.0000991013363447,0.0002929447862644,1,1
204.5433959960937,1.0000806754024862,0.0002929549738034,1,1
204.5638427734375,1.000002632650346,0.0002929709168133,1,1
204.58427429199216,1.000028180412164,0.0002929693570589,1,1
204.6047058105469,0.999556722163341,0.0002928800228075,1,1
209.8357696533203,1.0000232916364946,0.0002916251074279,0,2
209.85620117187503,1.0003934604035691,0.0002915634846388,0,2
209.8766326904297,1.0001789440809865,0.0002915035063721,0,2
209.8970642089844,0.999748940268648,0.0002914843747941,0,2
209.91751098632807,0.9996357623168594,0.000291377441693,0,2
209.9379425048828,0.999839874812364,0.0002913762246064,0,2
209.95837402343756,0.9990881156765404,0.0002912829864395,0,2
209.97880554199216,0.9985850188959772,0.0002912084120365,0,2
209.99923706054688,0.9985328687106332,0.0002911723496754,0,2
210.0196685791016,0.9991671956512856,0.0002912142959115,0,2
210.04010009765628,0.998335787991714,0.0002911313456074,0,2
210.060546875,1.0002282142683523,0.000291227996266,0,2
210.0809783935547,1.000182802464769,0.0002912025059002,0,2
210.10140991210935,1.000575696913142,0.0002912359227774,0,2
210.1218414306641,0.9999495010471842,0.000291185167858,0,2
210.1422729492188,0.9996088260587592,0.0002911367136888,0,2
210.16270446777344,0.9998758049950816,0.0002911902490912,0,2
211.51133728027344,0.9995317466854772,0.0002926155178608,0,3
211.5317687988281,0.9995491402202652,0.0002926383452325,0,3
211.55221557617188,0.9997821969746514,0.0002927273464753,0,3
211.57264709472656,1.0002593356735048,0.0002928188897946,0,3
211.59307861328125,0.9998408679316022,0.0002927912475763,0,3
211.613510131836,1.00025077079368,0.0002928947025053,0,3
